model_type,worda,wordb,value,worda_freq
model,ocean,chemical,0.08379700779914856,6
model,ocean,include,0.08144700527191162,6
model,ocean,sea,0.07825072109699249,6
model,ocean,like,0.07620951533317566,6
cocount,ocean,family,4.0,6
cocount,ocean,effect,2.0,6
cocount,ocean,end,2.0,6
cocount,ocean,power,2.0,6
cocount,ocean,set,2.0,6
cocount,ocean,active,0.0,6
cocount,ocean,also,0.0,6
cocount,ocean,american,0.0,6
cocount,ocean,animal,0.0,6
cocount,ocean,author,0.0,6
cocount,ocean,began,0.0,6
cocount,ocean,california,0.0,6
cocount,ocean,called,0.0,6
cocount,ocean,change,0.0,6
cocount,ocean,chemical,0.0,6
cocount,ocean,chemistry,0.0,6
cocount,ocean,city,0.0,6
cocount,ocean,cloud,0.0,6
cocount,ocean,colorado,0.0,6
cocount,ocean,country,0.0,6
model,system,also,0.26035982370376587,14
model,system,sea,0.20907215774059296,14
model,system,greek,0.20640209317207336,14
model,system,low,0.19493302702903748,14
model,system,use,0.19408488273620605,14
model,system,substance,0.188173308968544,14
model,system,theory,0.16741052269935608,14
model,system,european,0.1547442078590393,14
model,system,american,0.13064369559288025,14
model,system,every,0.1268603801727295,14
model,system,change,0.11234496533870697,14
model,system,information,0.11202763020992279,14
model,system,city,0.11003825068473816,14
model,system,part,0.09342481940984726,14
model,system,including,0.08151546120643616,14
model,system,example,0.08048079907894135,14
model,system,however,0.07774657011032104,14
model,system,land,0.0731608122587204,14
model,system,person,0.07304735481739044,14
model,system,began,0.06446686387062073,14
cocount,system,end,8.0,14
cocount,system,family,6.0,14
cocount,system,power,6.0,14
cocount,system,set,5.0,14
cocount,system,effect,3.0,14
cocount,system,active,0.0,14
cocount,system,also,0.0,14
cocount,system,american,0.0,14
